id,published_date,title,source,tags,crawl_date,tickers,day_of_week
97213430,2026-07-14,"Boko Haram exploited US and Chinese AI chatbots for attacks, Cambridge study finds",scmp.com,"('Anthropic', 'Artificial Intelligence', 'Boko Haram', 'Brookings', 'Cambridge University', 'Chatgpt', 'China', 'Deepseek', 'ETF', 'Google', 'Islamic State', 'Meta', 'Nigeria', 'Openai', 'South China Morning Post', 'Stock', 'Technology', 'Unknown Sector', 'Us')",2026-07-14,"('meta', 'meta', 'meta', 'metv')",2
97213816,2026-07-14,Meta layoffs take disturbing turn in new lawsuit,finance.yahoo.com,"('Consumer Cyclical', 'ETF', 'Family Leave', 'Medical Conditions', 'Meta', 'Stock', 'Technology', 'Unknown Sector')",2026-07-14,"('meta', 'meta', 'meta', 'metv', 'msft', 'tsla')",2
97213567,2026-07-14,"Meta Used Its Own Flawed AI to Pick Which Employees to Lay Off, Lawsuit Claims",finance.yahoo.com,"('Bereavement Leave', 'ETF', 'Kevin Dietsch', 'Medical Leave', 'Meta', 'Reuters Reports', 'Stock', 'Technology', 'Unknown Sector')",2026-07-14,"('meta', 'meta', 'meta', 'metv')",2
97211033,2026-07-14,"Employees sue Meta, alleging discrimination in using AI to make layoffs",cnbc.com,"('Breaking News: Technology', 'Business', 'Computing', 'ETF', 'Internet', 'Personnel', 'Social Issues', 'Social Media', 'Stock', 'Technology', 'Unknown Sector', 'Wireless')",2026-07-14,"('meta', 'meta', 'meta', 'metv', 'wday')",2
97210804,2026-07-14,Meta accused of using AI to target workers on medical leave in bloodbath layoffs: lawsuit,nypost.com,"('Artificial Intelligence', 'ETF', 'Lawsuit', 'Layoffs', 'Meta', 'Stock', 'Technology', 'Unknown Sector')",2026-07-14,"('meta', 'meta', 'meta', 'metv')",2
97209045,2026-07-14,"Meta used AI workplace tools to target employees on medical leave, lawsuit alleges",businessinsider.com,"('Ai', 'Big Tech', 'Consumer Cyclical', 'ETF', 'Financial Services', 'Law', 'Lawsuits', 'Layoffs', 'Meta', 'Stock', 'Tech', 'Technology', 'Unknown Sector')",2026-07-14,"('aaic', 'ai', 'ai', 'dis', 'jpm', 'jpm-ws', 'law', 'meta', 'meta', 'meta', 'metv', 'tech')",2
97207860,2026-07-14,Why Meta stock suddenly broke out after a long slide,finance.yahoo.com,"('Doug Anmuth', 'ETF', 'Financial Services', 'Meta', 'Stock', 'Technology', 'Unknown Sector')",2026-07-14,"('goog', 'googl', 'jpm', 'jpm-ws', 'meta', 'meta', 'meta', 'metv', 'msft')",2
97207354,2026-07-14,Meta sued by 26 employees who say its AI systems targeted workers on medical leave for layoffs,thenextweb.com,"('Artificial Intelligence', 'ETF', 'Meta', 'Stock', 'Technology', 'Tiingo Top', 'Unknown Sector')",2026-07-14,"('meta', 'meta', 'meta', 'metv')",2
97206730,2026-07-14,Morgan Stanley runs to Broadcom's defense as investors worry about competition,cnbc.com,"('Breaking News: Markets', 'ETF', 'Financial Services', 'Investment Strategy', 'Markets', 'Stock', 'Technology', 'Tiingo Top', 'Unknown Sector')",2026-07-14,"('aapl', 'aapl', 'avgo', 'avgo', 'barl', 'brcm', 'googl', 'intc', 'intc', 'meta', 'meta', 'meta', 'metv', 'ms', 'msk', 'mwg', 'mwo', 'mwr', 'nvda', 'nvda', 'soxx')",2
97205790,2026-07-14,"Amazon, Microsoft Drive Data Center Demand",gurufocus.com,"('Consumer Cyclical', 'ETF', 'Stock', 'Technology', 'Unknown Sector')",2026-07-14,"('amzn', 'amzn', 'goog', 'goog', 'meta', 'meta', 'meta', 'metv', 'msft', 'msft')",2
97205620,2026-07-14,Meta layoffs: 26 employees sue company over alleged AI bias targeting disabled workers,livemint.com,"('CryptoCurrency', 'ETF', 'Layoff New', 'Meta', 'Meta Layoff', 'Stock', 'Technology', 'Today', 'Unknown Sector')",2026-07-14,"('meta', 'meta', 'meta', 'metv')",2
97205925,2026-07-14,Meta's AI Layoff Tools Draw Legal Fire,gurufocus.com,"('ETF', 'Stock', 'Technology', 'Unknown Sector')",2026-07-14,"('meta', 'meta', 'meta', 'metv')",2
97204080,2026-07-14,Meta Has Fired Thousands Of Employees. A New Lawsuit Accuses It Of Using AI To target Workers With Medical Conditions,ibtimes.com,"('Ai', 'ETF', 'Financial Services', 'Layoffs', 'Meta', 'Stock', 'Technology', 'Unknown Sector')",2026-07-14,"('aaic', 'ai', 'ai', 'meta', 'meta', 'meta', 'metv')",2
97202843,2026-07-14,Meta Platforms (META) Faces Discrimination Lawsuit from Former Employees,gurufocus.com,"('ETF', 'Stock', 'Technology', 'Unknown Sector')",2026-07-14,"('meta', 'meta', 'meta', 'metv')",2
97202830,2026-07-14,Meta Faces Lawsuit Over AI-Assisted Layoffs,gurufocus.com,"('ETF', 'Stock', 'Technology', 'Unknown Sector')",2026-07-14,"('meta', 'meta', 'meta', 'metv')",2
97206053,2026-07-14,"Meta Platforms is Overvalued at 5.92X PS: Buy, Sell or Hold the Stock?",zacks.com,"('Analyst Blog', 'Consumer Cyclical', 'ETF', 'Stock', 'Technology', 'Unknown Sector')",2026-07-14,"('amzn', 'amzn', 'googl', 'meta', 'meta', 'meta', 'metv', 'msft', 'msft')",2
97200255,2026-07-14,Should Nebius and CoreWeave Investors Be Scared by Meta's Latest Plans?,fool.com,"('4C01866D-86A4-40D3-B748-B378226C98D2', 'Crwv', 'ETF', 'Investing', 'Meta', 'Nbis', 'Stock', 'Technology', 'Technology And Telecom', 'Unknown Sector')",2026-07-14,"('crwv', 'crwv', 'meta', 'meta', 'meta', 'metv', 'nbis')",2
97199201,2026-07-14,Earnings season plays: Profit expectations are growing for these stocks while their valuations get cheaper,cnbc.com,"('Breaking News: Markets', 'Communication Services', 'Consumer Cyclical', 'ETF', 'Investment Strategy', 'Markets', 'Stock', 'Stock Markets', 'Technology', 'Tiingo Top', 'Unknown Sector', 'Wall Street')",2026-07-14,"('aapl', 'aapl', 'amzn', 'amzn', 'googl', 'meta', 'meta', 'meta', 'metv', 'msft', 'msft', 'nflx', 'nflx', 'nvda', 'nvda', 'qqq', 'qqq', 'tmus', 'tmus', 'tsla', 'tsla', 'wbd', 'wbd', 'xle', 'xlk')",2
97199836,2026-07-14,Meta Vs. Palantir: Meta Platforms’ Deep Value Moats Crush Palantir’s Hyper-Inflatated Multiple,finance.yahoo.com,"('ETF', 'Meta', 'Nvidia', 'Palantir', 'Prediction Markets', 'Pricing Power', 'Stock', 'Technology', 'Unknown Sector')",2026-07-14,"('meta', 'meta', 'meta', 'metv', 'mu', 'nvda', 'pltr')",2
97209105,2026-07-14,Meta Platforms Is Moving Closer to Controlling Its AI Supply Chain. Here’s What the Company Is Planning.,finance.yahoo.com,"('ETF', 'Financial Services', 'Meta', 'Meta Stock', 'Stock', 'Technology', 'Unknown Sector')",2026-07-14,"('brcm', 'meta', 'meta', 'meta', 'metv', 'nvda', 'wfc', 'wfc-ws')",2
97196731,2026-07-14,Tesla and Meta Are Worth Almost the Same. Which Stock Is the Better Buy?,fool.com,"('A91E8A43-6Bfc-4Fbe-Ae77-F6Ffdab54D45', 'Consumer Cyclical', 'ETF', 'Investing', 'Meta', 'Stock', 'Technology', 'Technology And Telecom', 'Tsla', 'Unknown Sector')",2026-07-14,"('meta', 'meta', 'meta', 'metv', 'tsla', 'tsla')",2
97194266,2026-07-14,Mike Santoli: Why eye-popping earnings expectations have failed to lift the market for two months,cnbc.com,"('Breaking News: Markets', 'Consumer Cyclical', 'ETF', 'Investment Strategy', 'Markets', 'Stock', 'Technology', 'Tiingo Top', 'Unknown Sector')",2026-07-14,"('amzn', 'amzn', 'googl', 'mags', 'meta', 'meta', 'meta', 'metv', 'msft', 'msft', 'mu', 'mu', 'qqq', 'qqq', 'soxx', 'xlk')",2
97193855,2026-07-14,TikTok policy chief defends safety measures amid EU push to limit children's social media access,cnbc.com,"('Breaking News: Technology', 'Business', 'Bytedance', 'ETF', 'Entertainment', 'Media', 'Online Safety', 'Publishing', 'Social Issues', 'Social Media', 'Stock', 'Technology', 'Television', 'Tiktok', 'Unknown Sector')",2026-07-14,"('googl', 'meta', 'meta', 'meta', 'metv')",2
97194003,2026-07-14,2 Growth Stocks with All-Star Potential and 1 Facing Headwinds,finance.yahoo.com,"('ETF', 'Ebitda Margin', 'Growth Stocks', 'Industrials', 'Lam Research', 'Meta', 'Revenue Growth', 'Stock', 'Technology', 'Unknown Sector')",2026-07-14,"('brcm', 'hni', 'kbal', 'kbalb', 'lrcx', 'meta', 'meta', 'meta', 'metv')",2
97192971,2026-07-14,"Meta Expands Louisiana Data Center, Enhancing Local Economy",gurufocus.com,"('ETF', 'Stock', 'Technology', 'Unknown Sector')",2026-07-14,"('meta', 'meta', 'meta', 'metv')",2
97193011,2026-07-14,Alphabet Signs the Biggest Solar Deal of Its Kind in the U.S.,gurufocus.com,"('Consumer Cyclical', 'ETF', 'Stock', 'Technology', 'Unknown Sector')",2026-07-14,"('amzn', 'amzn', 'goog', 'goog', 'googl', 'meta', 'meta', 'meta', 'metv', 'msft', 'msft')",2
